Track,Album,Artists,Duration
Magnolia,Eric Clapton & Friends: The Breeze - An Appreciation Of JJ Cale,"Eric Clapton,John Mayer",221693
Dosed,By the Way (Deluxe Edition),Red Hot Chili Peppers,311866
She's a Lover,Unlimited Love,Red Hot Chili Peppers,221092
Jo Bhi Main,Rockstar,Mohit Chauhan,273500
Lemonworld,Lost Tropics,Ocean Alley,194553
Time To Move (feat. John Mayer),Time To Move,"Crosby Loggins,John Mayer",204386
Funny Face,Snow (Hey Oh),Red Hot Chili Peppers,286200
The Night Me and Your Mama Met,"Awaken, My Love!",Childish Gambino,214080
Simulation Swarm,Dragon New Warm Mountain I Believe In You,Big Thief,252733
Never on the Day You Leave,The Search for Everything,John Mayer,220866
Black Summer,Black Summer,Red Hot Chili Peppers,232412
Never Say Never,The Fray,The Fray,256613
In A Little While,All That You Can't Leave Behind,U2,220733
Waitin' On The Day,Paradise Valley,John Mayer,273066
Let 'Em Cry,Unlimited Love,Red Hot Chili Peppers,263152
Santeria,Sublime,Sublime,182746
Your Song,Elton John,Elton John,241786
Hummingbird,B.B. King & Friends - 80,"B.B. King,John Mayer",280546
Otherside,Californication (Deluxe Edition),Red Hot Chili Peppers,255373
One Last Breath,Weathered,Creed,238240
Side To Side,Dangerous Woman,"Ariana Grande,Nicki Minaj",226160
In the Blood,The Search for Everything,John Mayer,243666
Whatchu Thinkin',Unlimited Love,Red Hot Chili Peppers,220905
Out of Time,Dawn FM,The Weeknd,214193
The Will To Death,The Will To Death,John Frusciante,228426
Something Like Olivia,Born and Raised,John Mayer,180626
Can't Stop,By the Way (Deluxe Edition),Red Hot Chili Peppers,269000
Wherever You Will Go,Camino Palmero,The Calling,208600
Song To Sing When I'm Lonely,Shadows Collide With People,John Frusciante,195213
I Don't Need No Doctor,That's What I Say (Int'l Online/Yahoo Exclusive),"John Scofield,John Mayer",269840
Poster Child,Poster Child,Red Hot Chili Peppers,318421
Magnolia,Naturally,J.J. Cale,203960
Summer High,Summer High,AP Dhillon,177391
My Stupid Mouth,Room For Squares,John Mayer,223960
By the Way,By the Way (Deluxe Edition),Red Hot Chili Peppers,216933
How to Save a Life,How To Save A Life,The Fray,262533
Saadda Haq,Rockstar,Mohit Chauhan,362662
"Covered in Rain - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,John Mayer,625173
The Heavy Wing,Unlimited Love,Red Hot Chili Peppers,331424
D'yer Mak'er - Remaster,Houses of the Holy (Deluxe Edition),Led Zeppelin,262748
