Spotify ID,Artist IDs,Track Name,Album Name,Artist Names,Release Date,Duration,Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3KePc5zqybSrshHWzo65pk,"6PAt558ZEZl0DmdXlnjMgD,0hEurMDQu99nJRq8pTxO14",Magnolia,Eric Clapton & Friends: The Breeze - An Appreciation Of JJ Cale,"Eric Clapton,John Mayer",2014-01-01,221693,54,spotify:user:,1970-01-01T00:00:00Z,"blues rock,classic rock,electric blues,rock,neo mellow,singer-songwriter",0.589,0.251,0,-14.218,1,0.0365,0.664,0.13,0.0934,0.404,73.924,4
1iFIZUVDBCCkWe705FLXto,0L8ExT028jH3ddEcZwqJJ5,Dosed,By the Way (Deluxe Edition),Red Hot Chili Peppers,2002-07-09,311866,63,spotify:user:,1970-01-01T00:00:00Z,"alternative rock,funk metal,funk rock,permanent wave",0.571,0.8,7,-4.131,1,0.0292,0.0101,0.0000729,0.111,0.335,104.377,4
4c4TCbToFf6X8CncWJuHa3,0L8ExT028jH3ddEcZwqJJ5,She's a Lover,Unlimited Love,Red Hot Chili Peppers,2022-04-01,221092,61,spotify:user:,1970-01-01T00:00:00Z,"alternative rock,funk metal,funk rock,permanent wave",0.726,0.606,5,-4.727,0,0.0348,0.00239,0.0065,0.111,0.419,104.724,4
2MmAYegcUty1DmG0Gw7AMh,5GnnSrwNCGyfAU4zuIytiS,Jo Bhi Main,Rockstar,Mohit Chauhan,2011-10-01,273500,57,spotify:user:,1970-01-01T00:00:00Z,"desi pop,filmi,modern bollywood",0.558,0.565,11,-7.561,0,0.0286,0.58,0.0000191,0.125,0.394,135.986,4
0PFLUb13SISgyUekNWuJ4e,18lpwfiys4GtdHWNUu9qQr,Lemonworld,Lost Tropics,Ocean Alley,2016-05-13,194553,60,spotify:user:,1970-01-01T00:00:00Z,australian reggae fusion,0.458,0.614,4,-6.336,0,0.0322,0.094,0,0.33,0.485,149.228,4
5MNrNji198JkIQK2GBbUcQ,"1XMyelskjrdVKYhWrPfD1X,0hEurMDQu99nJRq8pTxO14",Time To Move (feat. John Mayer),Time To Move,"Crosby Loggins,John Mayer",2009-07-09,204386,31,spotify:user:,1970-01-01T00:00:00Z,"acoustic pop,neo mellow,singer-songwriter",0.516,0.745,5,-3.598,1,0.0265,0.155,0,0.271,0.415,79.931,4
2YubBFXcuz4lGFsbnyK9QW,0L8ExT028jH3ddEcZwqJJ5,Funny Face,Snow (Hey Oh),Red Hot Chili Peppers,2006-12-19,286200,37,spotify:user:,1970-01-01T00:00:00Z,"alternative rock,funk metal,funk rock,permanent wave",0.598,0.708,5,-3.547,1,0.0649,0.083,0,0.0863,0.91,166.466,4
6ouqFJzORAuvKAOZZr0IRM,73sIBHcqh3Z3NyqHKZ7FOL,The Night Me and Your Mama Met,"Awaken, My Love!",Childish Gambino,2016-12-02,214080,56,spotify:user:,1970-01-01T00:00:00Z,"atl hip hop,hip hop,pop,rap",0.606,0.12,1,-14.614,0,0.0295,0.968,0.307,0.0626,0.125,134.006,3
2FwDApgXk91kXvqy2oB7dz,5QdyldG4Fl4TPiOIeMNpBZ,Simulation Swarm,Dragon New Warm Mountain I Believe In You,Big Thief,2022-02-11,252733,64,spotify:user:,1970-01-01T00:00:00Z,"art pop,brooklyn indie,indie pop,indie rock,small room",0.703,0.578,1,-9.103,1,0.0728,0.446,0.0024,0.102,0.67,105.204,4
3TQbr3G3U5wlwEJejmqC1F,0hEurMDQu99nJRq8pTxO14,Never on the Day You Leave,The Search for Everything,John Mayer,2017-04-14,220866,56,spotify:user:,1970-01-01T00:00:00Z,"neo mellow,singer-songwriter",0.536,0.355,2,-8.61,1,0.0259,0.733,0.0000122,0.138,0.22,139.888,4
